content,score,at,content_sentiment,content_sentiment_num,content_sentiment_confidence
this game is the best game children things free fire and PUBG is the best game,5,2025-06-22 16:57:56,positive,2,0.9727193117141724
it has been an amazing experience,5,2025-06-22 16:50:04,positive,2,0.93226158618927
"it's a really good game, I loving it so far. In my opinion people say it's laggy in phone but in my phone it's different. if your complaining about the game being laggy, it's your phone storage problem.",5,2025-06-22 16:46:52,positive,2,0.7057012319564819
best game,5,2025-06-22 16:28:38,positive,2,0.9188457727432251
super game and good adventure game❤️❤️❤️❤️☺️☺️☺️☺️👏👏👏👏,5,2025-06-22 16:24:52,positive,2,0.9857437014579773
"Game,story everything is amazing but we and epically for new player can't get enough primogems to reach 90 pity and it's so hard to get 10 wishes in a day and make pity at 50 or 60 and New players don't have good And enough characters for spiral abyss and imagineriam theater and exploring map is so hard even after Interective map and mobile grafics are sooo bad and mobile controls are hard developers need to fix this and if we need same account but in different phone i can't do it that's problem",5,2025-06-22 16:22:50,negative,0,0.9087923765182495
not good animation and etc especially on the newest archon quest zzz no improvement over 4 years,1,2025-06-22 16:14:20,negative,0,0.994561493396759
i love the graphics and the story,5,2025-06-22 16:06:44,positive,2,0.9762703776359558
Can you put Arabic language in the game too??,4,2025-06-22 15:47:47,neutral,1,0.7654325366020203
"Genshin impact has been one of my emotional supports items the content is great,just hope that devs can make a skip button,i always watch my phone during quests.Also i hope that we can grand for primos more easy.",5,2025-06-22 15:41:01,neutral,1,0.4976201057434082
the game is great but the shortcomings of this game is the primo gems so little and now i can't play the game i don't know why when i want play the loading screen and than lock out game by himself i don't know why what happens but i like this game,5,2025-06-22 15:36:22,positive,2,0.8124955892562866
release the captain bro,2,2025-06-22 15:27:02,neutral,1,0.7200352549552917
"i played this game for a long time and one thing I can say for sure it's not Free to play friendly , it demands lotssss of time, hoyo verse is a billion dollar company yet they cant catch up with other gacha games in quality of life they'll Make you grind for hours for 1 or 2 pulls , at this point only thing they are improving is there money squeezing tricks , everything is outdated 3/10",1,2025-06-22 15:24:16,negative,0,0.9728692770004272
i hate the way when the game give us 5 star at high pity,1,2025-06-22 15:22:57,negative,0,0.9835167527198792
Wow it's amazing but natlan could be better and the character designs of natlan are low key bad,3,2025-06-22 14:44:32,positive,2,0.6501680016517639
WAIT UNTIL THIS GAME EOS,1,2025-06-22 14:36:16,neutral,1,0.7558733224868774
"amazing game but it lacks these- rewards are less rerun of characters takes way too long old characters are useless lack of resin reserve no skip button for quests can't skip voiceless dialogues the lore bombing was slow but I can see it improve so no issues new characters like skirk need esco and very limited team members the difference with n without her is huge .Characters are weak like venti,raiden aether is treated better even tho there should be no difference. devs pls listen🙏",3,2025-06-22 14:27:55,positive,2,0.5784862637519836
GENSHIN WILL ALWAYS BE MY TOP GAME🫶✨,5,2025-06-22 14:05:57,positive,2,0.965321958065033
NERF RAIDEN ECHO WITH YOUR TRASH 4 STARS TRIAL CHARACTERS,1,2025-06-22 13:45:32,neutral,1,0.9706752896308899
"I must say that this is the only game I have been playing since I was 11years old,the animation for skirk was top peak but the only thing I wanna say is I hope our wishing sistem won't be so umm but such a bummer, it's totally insane how I rolled both 78 pulls for varesa and skirk only to get c1 and c2 jean",5,2025-06-22 13:28:47,positive,2,0.6166242361068726
wow,5,2025-06-22 13:24:23,positive,2,0.9598195552825928
good 👍🏻,4,2025-06-22 13:22:36,positive,2,0.8451585173606873
solid,5,2025-06-22 13:16:22,positive,2,0.77522873878479
good,5,2025-06-22 13:08:36,positive,2,0.8451585173606873
didn't liked the game there was some kid with crazy obsession with explosives almost unalived me with a drunk bard 😤,1,2025-06-22 13:03:13,neutral,1,0.8247361183166504
great,5,2025-06-22 13:00:20,positive,2,0.8082208037376404
It's not the same game database; it doesn't hold your PC account nor progress.,1,2025-06-22 12:19:38,neutral,1,0.735420286655426
ok lah,5,2025-06-22 12:11:41,neutral,1,0.41665029525756836
nub game,1,2025-06-22 12:09:45,negative,0,0.5524523854255676
Bad at explaining stuff,1,2025-06-22 12:05:34,negative,0,0.9843834638595581
this game is master piece for me it's really fantastic 🥰,5,2025-06-22 11:57:23,positive,2,0.9918314814567566
L game. Very capitalist and NO SKIP BUTTON.,1,2025-06-22 11:54:32,positive,2,0.841255247592926
"Terrible mobile controls. I am waiting for for a customizable hud for years and hasn't been implemented. Yall know why we wanted it? a bunch of mis clicks you will experience from this game. Can't even multi touch in this game, it locks up to joystick and cant pan around when you introduce your third finger, which is necessary when in combat(for aiming). What the hell developers are thinking from their game? an afk game? like nikke? It seems like their making a shooter game with moba controls.",3,2025-06-22 11:50:18,negative,0,0.993962824344635
The best.,5,2025-06-22 11:26:53,positive,2,0.8496984243392944
"G for GUOB LOCK, FANDOM GUOB LOXK, SEFONK TRUS TUH DEV QIQIR. (22/06/25) : Just fired Your animation director already, this game getting worse, seems like AZAB series on Indosiar, Pocong npc, Bubble buddy",1,2025-06-22 10:56:35,negative,0,0.965039849281311
I am using Samsang S25 Ultra and gaming experience is amazing.,5,2025-06-22 10:49:36,positive,2,0.9824407696723938
good,4,2025-06-22 10:39:30,positive,2,0.8451585173606873
"dog water, and gave me a gambling addiction.",1,2025-06-22 10:36:42,negative,0,0.5205983519554138
pls do not add anymore loli baits😭🥀,4,2025-06-22 10:35:51,neutral,1,0.8875951170921326
it's a nice game concept. my only issue is that the quest is way too long. A lot of them dont have many spots where you can save along the way. The quests can take hours. which makes me not want to play the game.,3,2025-06-22 10:06:36,neutral,1,0.566123366355896
horrible,1,2025-06-22 10:05:14,negative,0,0.9795536994934082
"Hi guys its 2025, covid lockdown is no more, there are other games much better than this.",1,2025-06-22 09:58:05,positive,2,0.9599317908287048
"This game become pay to win game. Farming relics/talent/asc mats always take forever, the characters has more and more stupid gimmick that pretty stupid.",2,2025-06-22 09:28:22,neutral,1,0.9112875461578369
i loveee this game sm,5,2025-06-22 08:56:37,positive,2,0.9668431878089905
as of jun 21 2025 the feature i asked for was added and that was to download only the things we need to play the game.,5,2025-06-22 08:54:38,neutral,1,0.8169564604759216
Pls fix and optimize the natlan region. Other regions run smoother in 60 fps but only natlan faces the issue where i have to switch to lower graphic settings.,1,2025-06-22 08:37:35,negative,0,0.8984698057174683
Developers take years to implement QOL updates . Story quality dropped massively after Fontaine. spiral abyss is just a dps check with no strategy. the only positive is that the character list has gotten more diverse.,1,2025-06-22 08:24:36,neutral,1,0.5016267895698547
"For this game to be on mobile is a crime, but I won't complain because this is the best experience I've had from an adventure game on mobile. The visuals are amazing. The open world is captivating, and getting lost in how good it is will lead you into some trouble with some high-level enemies, so do watch for those, but overall, this game is a great game and I'm glad that it runs on my galaxy A51 though it's on the lowest graphics it's still visually appealing.",5,2025-06-22 07:56:05,positive,2,0.9934762120246887
"I've always loved this game since I was a child and didn't get an opportunity to Play, but now that I have I'll say this the best game of my life 💕",5,2025-06-22 07:51:20,positive,2,0.9459484219551086
"Played on launch, Quit after1st Anniversary, no money spent, best choice ever made. For a game that makes billions, the QoL is minimal and mediocre at best. Combat had potential but was not Met and was not Improved even after 5 years of constant updates. Exploration is slow and locked behind Limited Characters for better experience. Character Gacha 50/50 TRASH, Weapon Gacha 25/75 TRASH. The character models MEDIOCRE and SOULLESS. The community TRASH. Money is all that matters after all.",1,2025-06-22 07:18:20,negative,0,0.9666194915771484
it's good just they needa be more f2p friendly like give some cool things out just for playing not everyone can sit on this game 247 but I still like the open world its pretty,4,2025-06-22 07:08:59,positive,2,0.7105391621589661
"Pay to win in a gacha game, how surprising. Devs are getting lazy and power creeping older characters. Stale and repetitive meta (pull new characters or good luck).",1,2025-06-22 06:54:56,negative,0,0.9531172513961792
"Those bitchs never learn to treat their players nice, and the content is now trash",1,2025-06-22 06:18:41,negative,0,0.9600747227668762
"Ive been a big fan in 2021-2024 after fontaine everything started to flop, child characters are made in a way that makes me uncomfortable whenever i see them, no variety in characters, and the fanservice that actually should be in game like for example rewarding players is not there, the onoy fanservice in there is for gooners not actual players, ive been an acive player, spent money, and especially after nod krai and natlan im disappointed, peak fantasy fairy like game got motors and hi3rd desi",1,2025-06-22 05:36:16,negative,0,0.7352712154388428
horrid.,1,2025-06-22 05:34:23,negative,0,0.9863254427909851
it a cool anime game,5,2025-06-22 05:11:55,positive,2,0.9937748908996582
makasih genshin impact karena sudah memperkenalkan aku ke dunia game story,5,2025-06-22 05:09:47,positive,2,0.7715973258018494
i love this game,5,2025-06-22 05:05:43,positive,2,0.9698373079299927
I know this is a gacha game ment to take your money but what is up with the success rates before they updated it it was 50/50 and I always got the character but now they changed it so now after 70 pull I haven't gotten the character please change the system back and maybe ill start playing again,1,2025-06-22 04:57:40,negative,0,0.9711869955062866
literally downloaded it jnbkoz of MSA 😭😭💜,4,2025-06-22 04:44:33,neutral,1,0.9500263333320618
we lost a lot of good moments and quests of this game because of the strike and now it's the time to recast anyone who doesn't want to work. also this game is becoming an uwu girl lover and doesn't stop sexualizing women since Natlan released. designing Varesa and Mizuki (especially her burst animation) proves it. and we only had one or two male characters (both 4*) for this whole area! maybe try designing more male characters and stop focusing on those uwu girls!,2,2025-06-22 04:22:31,positive,2,0.8729864358901978
"I've been playing Genshin Impact on and off, and every time I come back, it somehow feels worse. Grinding for primogems is a full-time job. You do daily commissions, burn resin, run around solving puzzles, help NPCs you dun even care about—and after hours of effort, what do you get? Barely enough for one ten pull.",1,2025-06-22 04:08:57,neutral,1,0.6487166285514832
"this game updat does not let you finish your birthday year please fixed this game so I can log in, thanks",2,2025-06-22 04:01:11,negative,0,0.9751207828521729
"it feels like a childs game anymore. it's not the same genshin that i enjoy since it became stagnant. graphics is cool but too childish. maybe it's time to step the game up, it is getting far behind on other games like WUWA. in terms of character development, story, combat skills. when you get a character, you only have lite version of what the character can do. in wuwa you get what you get. atleast 80% of capabilities and combat skills and how do they attack. being stagnant is not good and cool",3,2025-06-22 03:35:36,negative,0,0.9303500056266785
to unclear of what to do some times but for a mobile game it's pretty 👍,3,2025-06-22 03:33:23,positive,2,0.8075010180473328
"I tried it on Xbox ( one ) but it wasn't great because I had to play through cloud gaming, but since getting it on my phone I have begun to really enjoy it. Thanks to one of my mates for suggesting it.",5,2025-06-22 02:56:46,positive,2,0.6864599585533142
"Game overall is very fun at the start, the gacha system is a bad knowing that that around 90 pulls you are guaranteed a 5 star if it is not your desire character(limited) you are guaranteed on the next 90 pulls which is overall bad. Any 4 star can be hit or miss, powercreeep is thete rampant",1,2025-06-22 02:37:31,positive,2,0.7186973094940186
this game is awesome but it's very big size is not good that is it 30gb some device is 32 gb storage or 64gb but mine is 512 gb but it's very amazing but i hope you small the size please make it 20 or 10 gb aryaz amanj.,5,2025-06-22 02:23:50,neutral,1,0.5524294376373291
It's so fun to play and explore,5,2025-06-22 02:06:03,positive,2,0.9955060482025146
"This is truly the best game to ever exist. The characters? 10/10. The story? 10/10. and it's so so fun and interesting, I never got bored playing it! my favorite character is Venti♡, but I couldn't pull him in the previous version :( Can you please bring him back in the coming versions? PLEASE I love him so much!",5,2025-06-22 01:55:18,positive,2,0.9940272569656372
is so good,5,2025-06-22 01:50:40,positive,2,0.988021731376648
"Wow, the visuals in this project are amazing! The talent really shines through. Every little detail is so artistic, it's high definition! And the animations are so smooth, it makes it even more enjoyable. It's awesome to see this level of quality. They deserve all the success!",5,2025-06-22 01:28:03,positive,2,0.9944168329238892
"pretty nice game, but mostly p2w now. not really f2p friendly",2,2025-06-22 01:18:15,neutral,1,0.6346330642700195
"many QOLs could be implemented such as reserved resin, claiming more than once for weekly boss, crafting specific artifact pieces and buffing older characters. These all have been implemented by other hoyoverse game, why hasn't genshin?",4,2025-06-22 01:17:05,negative,0,0.9329079985618591
amazing game I love it I've been burntout lately and don't play as much as I ues to the only problem with this game is the lack off primos and the vioces being mute but I think the vioces will return soon I don't mind since I just skip quest now,4,2025-06-22 00:56:00,positive,2,0.8083381652832031
because many primos to need cerecter but game event is small primos you get many hard work but faild lose primos in 50/50,1,2025-06-22 00:55:01,negative,0,0.8730096220970154
"i truly loved this game, its music, the main stories, and the character were suxh an interesting ans fun experience but sadly as time passed, i felt some of the side quests or too dragy and farming became boring, it was still enjoyable when new update came out or when new characters dropped bit now i also have less storage space on my new phone so sadly i have to delete this app.",5,2025-06-22 00:49:23,neutral,1,0.38735294342041016
Amazing,5,2025-06-22 00:46:05,positive,2,0.9365832209587097
The game is awesome I can't believe that it on mobile and this good but it still needs more optimisations on mobile sometimes my character lags and stuff occasionally but it nothing significant,5,2025-06-22 00:21:11,neutral,1,0.575360894203186
"Hey developers, my adventure exp reads 5110/4575 and is stuck at adventure rank 25, not carrying over into rank 26. Please fix...... :)Edit: It was my fault, Ascension quest hadn't been beat yet 😂",5,2025-06-22 00:16:26,negative,0,0.991606593132019
"Fun gacha, smooth gameplay, fights are Addicting and the plot just keeps getting better especially after not playing for 2 years so I have tons of content to catch up on",5,2025-06-22 00:16:01,positive,2,0.9927934408187866
this new update doesn't let me download the resources. the confirm button is just diminished. it doesn't work. im quitting genshin forever,1,2025-06-22 00:13:14,negative,0,0.9733532071113586
giving it back since paimon va got replace.,5,2025-06-22 00:01:18,neutral,1,0.5746365189552307
"Idk about these complains, I love this game. I play genshin to escape reality and look at my favorite characters all the time, it feels so surreal and exciting.",5,2025-06-21 23:48:45,positive,2,0.9827371835708618
BEST GAME BUT ADD CLOUD GAMING FEATURE IN INDIA 🔥,5,2025-06-21 23:41:13,positive,2,0.860885500907898
"Such a greedy company. Giving low rewards each patch while making half-baked characters. The character designs is ugly, too much fanservice 🤮, the ratio between men and women characters are just bad. Give us an actual good written and visually designed characters while increasing the chance to get a new character. Make more male characters to balance the ratio and give us players more rewards. Even the events are getting boring every patch.",1,2025-06-21 23:39:02,negative,0,0.9969038367271423
it good,5,2025-06-21 23:35:09,positive,2,0.8867296576499939
cool game free 10,5,2025-06-21 23:29:33,positive,2,0.9776670336723328
trash game,1,2025-06-21 23:26:31,negative,0,0.9936515092849731
nice game,5,2025-06-21 23:13:50,positive,2,0.870432436466217
best game,5,2025-06-21 23:13:38,positive,2,0.9188457727432251
bad devs,1,2025-06-21 23:03:00,negative,0,0.8912439942359924
worst game you can ever play trust me just dont install to begin with only creates an unhealthy addiction and a toxic Fandom the devs dont care i promise you just no dont install its better off that way play something else,1,2025-06-21 22:32:23,negative,0,0.957308828830719
wow. its good,5,2025-06-21 22:09:29,positive,2,0.9879853129386902
Wuwa trash 👍,5,2025-06-21 21:50:25,negative,0,0.990022599697113
great I love gambling,5,2025-06-21 21:46:41,positive,2,0.6128072738647461
"It's very boring 😴, I completed all archon quests within a month (unending bs story).",1,2025-06-21 21:45:45,negative,0,0.9954850673675537
Idk what to say,5,2025-06-21 21:38:12,neutral,1,0.9060251712799072
"I JUST SAW A FEW THINGS YOU DID IN HSR BRO GIVE US SOMETHING... please stop with the lame rewards, so low QoL, give us new features, you owe that to this game who made you famous",1,2025-06-21 21:31:58,neutral,1,0.6189477443695068
fun but I lost raiden shogun to diluc,5,2025-06-21 21:29:31,neutral,1,0.6460217237472534
"This is a Very awesome amazing game but this game graphic's have a little lag, Even my RAM 6GB and graphic card 4GB but this is a Very impressive game 🫂👍🏻",5,2025-06-21 21:26:35,neutral,1,0.4584254324436188
best rpg.,5,2025-06-21 21:26:00,positive,2,0.978525698184967
it is amazing the graphics are great and there are lots of adventure like this game 😁,5,2025-06-21 21:22:16,positive,2,0.9908273816108704
Gak niat ngasih hadiah anniversary,5,2025-06-21 20:34:06,neutral,1,0.6478759050369263
it's so good and better than anything I've ever played in my opinion,5,2025-06-21 20:31:43,positive,2,0.9953906536102295
I keep refilling my Storage But I can't log in This is horrible,1,2025-06-21 20:15:59,negative,0,0.9879604578018188
good but boring,4,2025-06-21 20:14:21,neutral,1,0.790511965751648
Add dialogue skip,1,2025-06-21 20:03:27,neutral,1,0.5230655670166016
"It's probably just me, but i've been playing for years and every new update and archon quest i feel less excited and invested for. That does not mean that the game doesn't have a good story though. Personally, the direction genshin is stirred in doesn't alighn with me anymore and i feel gradually dissapointed by the game. That being said, i hope it continues to satisfy the players that are happy with the current version of the game, but for me, i cannot see myself playing it anymore.",1,2025-06-21 19:44:21,positive,2,0.7304084300994873
I'm madly in love with Venti,5,2025-06-21 19:34:20,positive,2,0.908025860786438
nice game,5,2025-06-21 19:33:06,positive,2,0.870432436466217
game is very fun! now give me another albedo rerun.,5,2025-06-21 19:31:32,positive,2,0.8812114596366882
"Big game but mobile friendly, so you could play with old device as well. If you still can't, try Genshin Cloud instead.",5,2025-06-21 19:23:31,neutral,1,0.6935868859291077
trash,1,2025-06-21 19:21:23,negative,0,0.9788740277290344
overall this game has a breathtakingly beautiful design and wonderful music and lore. i love exploring and hanging out with friends. i just encountered a small issue where the game is crashing whenever i try to open it since the last system update of my phone. i'm not sure what the cause is but i think this is not hoyo's fault. i will update the rating to 5 stars as soon as it's resolved,4,2025-06-21 19:05:20,positive,2,0.9860836863517761
"The game itself is great, doesn't lag or stutter at the highest settings. One thing I'd like to say is that the amount of pulls available in a patch are much lower than other gachas.",4,2025-06-21 18:50:31,positive,2,0.8378448486328125
very good game with amazing graphics but needs so much storage and loading,5,2025-06-21 18:30:24,positive,2,0.9852449297904968
"I came back to download genshin because of Skirk, I just couldn't help but admire! I couldn't believe how far genshin has come... I joined since 3.4 and now we're at 5.7? That's a incredible. Skirk's design is so gorgeous, I can take my eyes off of it! I love the new updates, the experience, everything! Hoyoverse really knows how to make players satisfied again.",5,2025-06-21 18:15:20,positive,2,0.9817793965339661
nerf the envisaged echo challenge rn,1,2025-06-21 18:14:52,neutral,1,0.5965144634246826
It has religiuos stuff which I dont like I used to play it but not now sorry,1,2025-06-21 18:10:40,neutral,1,0.7519729733467102
hoyo only cares about money and they are ruining the game by replacing iconic VAs. it's ruined.,1,2025-06-21 18:05:24,negative,0,0.9848254323005676
"the graphics were good..the fighting was epic.I always upgrade my character, finding a lot of material. Although,It may took a long process just to reach ar60.It was a lot of story and experience.",5,2025-06-21 17:56:15,positive,2,0.9807935953140259
I uninstalled almost all of my games just to playing this game but it's worth it,3,2025-06-21 17:47:11,positive,2,0.9671257734298706
A very legendary game!,5,2025-06-21 17:43:07,positive,2,0.8599624037742615
لعبه خايسه,1,2025-06-21 17:40:07,neutral,1,0.3864840567111969
I want to report that the game is not working and stops. Do you have a solution to the problem?,1,2025-06-21 17:22:25,negative,0,0.9365431070327759
worst,1,2025-06-21 17:04:25,negative,0,0.8136428594589233
i love this game expecially the high grapics although its kinda laggy for my tablet but still a five star ror me!,5,2025-06-21 16:56:16,positive,2,0.9238993525505066
Good graphics and story line but the wish system and primogem collection is too costly and time consuming.,4,2025-06-21 16:46:58,neutral,1,0.4804861545562744
this is very Nice game I play a journey and I enjoy it,5,2025-06-21 16:45:15,positive,2,0.9915297031402588
"hope they retcon natlan story,so disappointing, too elementary, the entire main questline is very childish.",2,2025-06-21 16:20:39,negative,0,0.8561127781867981
Love the main quest stories by the way.,5,2025-06-21 16:20:04,positive,2,0.9876004457473755
great game but how can we transfer our data from PlayStation to mobile,5,2025-06-21 16:12:08,positive,2,0.5429652333259583
it's really good game but there is so many very very loooooongggg conversation between characters and there is no skip option and the disaster comes in the time that u lost your connection between or in the end of conversation. they repeat all of it again! I don't want that conversations give me a brief and skip option!,4,2025-06-21 16:04:33,positive,2,0.5259910225868225
idk i js like kaveh lmao,5,2025-06-21 15:38:43,positive,2,0.5448359847068787
"started off as the most enjoyable rpg game with so much lore and top tier graphic environment for a free mobile game but for me personally the character design was such a turn off lately, just no, the obsessions for female chars is just too much and the sleeveless clothes ahh designs makes it just not so special anymore, my advice is please make more male char! uve had enough of female char already man....",1,2025-06-21 15:16:48,negative,0,0.8419042229652405
bast anime game ❤️❤️❤️😊👊,5,2025-06-21 14:58:36,positive,2,0.8252025246620178
nice,5,2025-06-21 14:57:53,positive,2,0.7540208101272583
nice,5,2025-06-21 14:53:10,positive,2,0.7540208101272583
it is awsome regards,5,2025-06-21 14:45:59,positive,2,0.631571352481842
"I'm starting to hate this game 🙂, it took me 70-80 draws just to get a character that is not normal anymore hoyo. 🙂",1,2025-06-21 14:38:51,negative,0,0.9533772468566895
good,5,2025-06-21 14:23:49,positive,2,0.8451585173606873
"very nice game The story the characters background music and themes, missions they all are very nice 👍👍",5,2025-06-21 14:04:41,positive,2,0.9961142539978027
"Worst co-op experience, it loads for eternity. And then again start loading. I can never enjoy co-op mode due to this bug. I play on PC, I'm here only to report my issue regarding PC application of Genshin Impact.",1,2025-06-21 13:34:29,negative,0,0.9556264877319336
"This game is spectacular.. has awesome storilies, characters and stunning visuals.",5,2025-06-21 13:32:59,positive,2,0.9937072396278381
角色建模好看，技能数值不错，剧情超好看,5,2025-06-21 13:20:19,neutral,1,0.3864840567111969
not have a special item,1,2025-06-21 13:02:01,negative,0,0.6369016170501709
good,5,2025-06-21 12:39:38,positive,2,0.8451585173606873
I was love this game from 1.1 till 3.4 The prob is when nabiya or something said harut n marut is demon or something like that Actually l am muslim n l believe harutmarut was an angel send by almighty God to earth n this story was based on kitabul AL-QURAN.hope hoyovers can change this,4,2025-06-21 12:34:10,positive,2,0.9157512187957764
"You really can't recreate your first time experiencing the world of Teyvat, and I had a blast. The graphics and characters and cutscenes are really incredible. My problem comes with tedious artifact farming as well as struggles getting 5-stars past C1 for better efficiency (requiring a LOT of grind time or in-game purchases), which is why I've put this game to rest. But if you're willing to look past all that and the storage requirement, then go right ahead!",3,2025-06-21 12:31:42,negative,0,0.5373049378395081
"Sudah mau 5 tahun tapi tidak ada perkembangan baik QOL, gestur ketika dialog, dan banyak lagi. Eksekusi dalam game semakin jelek dan kelihatan malas.",1,2025-06-21 12:25:47,positive,2,0.835038423538208
a good game.,5,2025-06-21 12:13:32,positive,2,0.9579859972000122
I love genshin it has many features and has many stuff to do especially spinning characters although is kinda hard to get stone to spin 💪,5,2025-06-21 11:51:51,positive,2,0.9752885699272156
