Product_Category,Product_Name,Quantity,Payment_Method,Review_Rating,Review_Text,State,Review_Text_sentiment,Review_Text_sentiment_num,Review_Text_sentiment_confidence
Electronics,Smartphone,1,Credit Card,2,Product not as expected,Nagaland,neutral,1,0.3900465667247772
Electronics,Tablet,2,UPI,3,Could be better,Bihar,positive,2,0.750451922416687
Electronics,Tablet,1,Cash on Delivery,5,Loved it!,Madhya Pradesh,positive,2,0.7877822518348694
Electronics,Tablet,2,UPI,3,Not bad,Assam,neutral,1,0.48498252034187317
Beauty,Lipstick,1,Cash on Delivery,3,Fair deal,Nagaland,positive,2,0.757193922996521
Home & Kitchen,Air Fryer,2,Cash on Delivery,5,Worth every rupee!,Jharkhand,positive,2,0.900964081287384
Books,Biography,3,Credit Card,1,Never buying again,Uttarakhand,negative,0,0.9667354226112366
Books,Children's Book,3,Credit Card,3,Could be better,Rajasthan,positive,2,0.750451922416687
Home & Kitchen,Vacuum Cleaner,5,Credit Card,3,Okay product,Punjab,positive,2,0.7045726180076599
Beauty,Shampoo,5,Cash on Delivery,4,Good quality,West Bengal,positive,2,0.9450585246086121
Home & Kitchen,Cookware Set,4,Cash on Delivery,3,Not bad,Kerala,neutral,1,0.48498252034187317
Home & Kitchen,Air Fryer,5,Debit Card,4,Good quality,Odisha,positive,2,0.9450585246086121
Clothing,Sneakers,1,Cash on Delivery,2,Poor packaging,Gujarat,negative,0,0.9881618618965149
Books,Comics,3,Debit Card,2,Disappointed,Tamil Nadu,negative,0,0.986985981464386
Electronics,Tablet,2,Credit Card,1,Terrible experience,Assam,negative,0,0.9610510468482971
Electronics,Smartphone,5,Credit Card,4,Value for money,Arunachal Pradesh,neutral,1,0.5708264708518982
Beauty,Face Cream,1,Credit Card,1,Never buying again,Sikkim,negative,0,0.9667354226112366
Home & Kitchen,Mixer Grinder,2,Cash on Delivery,4,Pretty decent,Haryana,positive,2,0.8838034272193909
Home & Kitchen,Water Purifier,4,Credit Card,5,Loved it!,Tripura,positive,2,0.7877822518348694
Home & Kitchen,Mixer Grinder,2,UPI,5,Worth every rupee!,Jharkhand,positive,2,0.900964081287384
Books,Children's Book,3,Cash on Delivery,3,Okay product,Assam,positive,2,0.7045726180076599
Home & Kitchen,Water Purifier,2,Debit Card,5,Excellent product!,West Bengal,positive,2,0.9557949304580688
Electronics,Laptop,3,UPI,5,Highly recommend!,Haryana,positive,2,0.9508875012397766
Beauty,Lipstick,5,Cash on Delivery,4,Value for money,West Bengal,neutral,1,0.5708264708518982
Books,Biography,1,Debit Card,5,Excellent product!,Bihar,positive,2,0.9557949304580688
Clothing,Jacket,5,Cash on Delivery,3,Fair deal,Madhya Pradesh,positive,2,0.757193922996521
Home & Kitchen,Air Fryer,3,Cash on Delivery,1,Terrible experience,Himachal Pradesh,negative,0,0.9610510468482971
Home & Kitchen,Air Fryer,5,Debit Card,1,Terrible experience,Manipur,negative,0,0.9610510468482971
Books,Fiction Novel,5,Debit Card,1,Terrible experience,Rajasthan,negative,0,0.9610510468482971
Beauty,Face Cream,2,Cash on Delivery,2,Not satisfied,Uttarakhand,negative,0,0.9404667615890503
Books,Science Textbook,2,UPI,1,Very bad product,Kerala,negative,0,0.9768244624137878
Beauty,Face Cream,2,Cash on Delivery,3,Fair deal,Goa,positive,2,0.757193922996521
Clothing,Jacket,5,Credit Card,2,Disappointed,Kerala,negative,0,0.986985981464386
Beauty,Lipstick,5,Cash on Delivery,1,Terrible experience,Kerala,negative,0,0.9610510468482971
Books,Children's Book,3,Debit Card,5,Loved it!,Gujarat,positive,2,0.7877822518348694
Books,Children's Book,2,Cash on Delivery,4,Pretty decent,Sikkim,positive,2,0.8838034272193909
Beauty,Perfume,4,UPI,2,Not satisfied,Himachal Pradesh,negative,0,0.9404667615890503
Books,Children's Book,1,UPI,4,Value for money,Tamil Nadu,neutral,1,0.5708264708518982
Home & Kitchen,Water Purifier,4,Cash on Delivery,3,Fair deal,Sikkim,positive,2,0.757193922996521
Books,Fiction Novel,5,Cash on Delivery,3,Average,Rajasthan,neutral,1,0.4617282748222351
Beauty,Perfume,3,Debit Card,1,Defective item,Assam,negative,0,0.9707651734352112
Beauty,Perfume,2,Credit Card,5,Excellent product!,Punjab,positive,2,0.9557949304580688
Books,Children's Book,5,Credit Card,4,Value for money,Rajasthan,neutral,1,0.5708264708518982
Beauty,Lipstick,1,Credit Card,4,Pretty decent,Goa,positive,2,0.8838034272193909
Home & Kitchen,Water Purifier,3,Cash on Delivery,4,Satisfied with the product,Nagaland,positive,2,0.9785903692245483
Beauty,Shampoo,1,Debit Card,5,Worth every rupee!,Telangana,positive,2,0.900964081287384
Home & Kitchen,Mixer Grinder,5,Debit Card,1,Never buying again,Haryana,negative,0,0.9667354226112366
Home & Kitchen,Cookware Set,2,UPI,2,Product not as expected,Goa,neutral,1,0.3900465667247772
Electronics,Tablet,3,Cash on Delivery,1,Waste of money,Manipur,negative,0,0.994858980178833
Clothing,Saree,3,Cash on Delivery,3,Could be better,Madhya Pradesh,positive,2,0.750451922416687
Electronics,Smartwatch,1,Debit Card,2,Product not as expected,Himachal Pradesh,neutral,1,0.3900465667247772
Electronics,Headphones,5,Cash on Delivery,3,Could be better,Rajasthan,positive,2,0.750451922416687
Electronics,Laptop,4,UPI,5,Worth every rupee!,Tamil Nadu,positive,2,0.900964081287384
Home & Kitchen,Air Fryer,1,UPI,1,Waste of money,Nagaland,negative,0,0.994858980178833
Books,Science Textbook,4,Cash on Delivery,5,Excellent product!,Haryana,positive,2,0.9557949304580688
Beauty,Hair Dryer,4,Credit Card,3,Fair deal,Sikkim,positive,2,0.757193922996521
Clothing,Sneakers,1,UPI,3,Could be better,Karnataka,positive,2,0.750451922416687
Clothing,T-Shirt,4,UPI,2,Quality could improve,Uttarakhand,positive,2,0.8631800413131714
Clothing,Saree,2,Credit Card,5,Loved it!,Tripura,positive,2,0.7877822518348694
Books,Fiction Novel,3,Debit Card,2,Not satisfied,Tripura,negative,0,0.9404667615890503
Electronics,Laptop,1,UPI,2,Disappointed,Arunachal Pradesh,negative,0,0.986985981464386
Electronics,Laptop,4,Debit Card,1,Never buying again,Haryana,negative,0,0.9667354226112366
Electronics,Smartwatch,5,Debit Card,5,Excellent product!,Uttarakhand,positive,2,0.9557949304580688
Electronics,Smartwatch,4,UPI,1,Defective item,Arunachal Pradesh,negative,0,0.9707651734352112
Books,Science Textbook,1,Debit Card,5,Fantastic quality!,Uttar Pradesh,positive,2,0.9278391599655151
Books,Biography,4,Credit Card,4,Pretty decent,Karnataka,positive,2,0.8838034272193909
Clothing,Jacket,3,Debit Card,4,Value for money,Madhya Pradesh,neutral,1,0.5708264708518982
Home & Kitchen,Vacuum Cleaner,2,UPI,4,Pretty decent,Himachal Pradesh,positive,2,0.8838034272193909
Electronics,Headphones,2,UPI,5,Highly recommend!,Assam,positive,2,0.9508875012397766
Beauty,Face Cream,3,Credit Card,3,Fair deal,Gujarat,positive,2,0.757193922996521
Clothing,T-Shirt,3,Credit Card,3,Not bad,Odisha,neutral,1,0.48498252034187317
Books,Comics,5,Debit Card,3,Could be better,Tamil Nadu,positive,2,0.750451922416687
Home & Kitchen,Vacuum Cleaner,1,UPI,2,Not satisfied,Karnataka,negative,0,0.9404667615890503
Electronics,Tablet,2,Debit Card,4,Value for money,Gujarat,neutral,1,0.5708264708518982
Books,Comics,1,UPI,2,Product not as expected,Rajasthan,neutral,1,0.3900465667247772
Beauty,Shampoo,5,UPI,3,Fair deal,Meghalaya,positive,2,0.757193922996521
Electronics,Headphones,5,Cash on Delivery,3,Average,Madhya Pradesh,neutral,1,0.4617282748222351
Electronics,Laptop,3,Debit Card,2,Not satisfied,Rajasthan,negative,0,0.9404667615890503
Beauty,Shampoo,2,Debit Card,5,Worth every rupee!,Manipur,positive,2,0.900964081287384
Electronics,Smartwatch,1,Cash on Delivery,1,Terrible experience,Chhattisgarh,negative,0,0.9610510468482971
Home & Kitchen,Mixer Grinder,4,Debit Card,3,Fair deal,Himachal Pradesh,positive,2,0.757193922996521
Electronics,Laptop,4,Debit Card,5,Highly recommend!,Chhattisgarh,positive,2,0.9508875012397766
Clothing,Sneakers,2,Credit Card,1,Defective item,Haryana,negative,0,0.9707651734352112
Clothing,Jeans,1,UPI,2,Product not as expected,Telangana,neutral,1,0.3900465667247772
Beauty,Hair Dryer,5,Debit Card,5,Worth every rupee!,Nagaland,positive,2,0.900964081287384
Electronics,Smartwatch,4,Debit Card,3,Average,Nagaland,neutral,1,0.4617282748222351
Home & Kitchen,Air Fryer,4,UPI,3,Not bad,Himachal Pradesh,neutral,1,0.48498252034187317
Books,Children's Book,4,Debit Card,1,Terrible experience,Telangana,negative,0,0.9610510468482971
Books,Science Textbook,1,Credit Card,3,Okay product,Odisha,positive,2,0.7045726180076599
Beauty,Shampoo,5,Debit Card,2,Product not as expected,Maharashtra,neutral,1,0.3900465667247772
Home & Kitchen,Water Purifier,1,UPI,3,Fair deal,Odisha,positive,2,0.757193922996521
Home & Kitchen,Vacuum Cleaner,5,Debit Card,3,Fair deal,Madhya Pradesh,positive,2,0.757193922996521
Clothing,Saree,1,Credit Card,4,Would buy again,Kerala,positive,2,0.8037182092666626
Electronics,Smartwatch,5,Credit Card,3,Fair deal,Haryana,positive,2,0.757193922996521
Clothing,Jeans,2,UPI,3,Could be better,Chhattisgarh,positive,2,0.750451922416687
Books,Science Textbook,5,Cash on Delivery,2,Product not as expected,Mizoram,neutral,1,0.3900465667247772
Home & Kitchen,Cookware Set,4,Credit Card,4,Pretty decent,Meghalaya,positive,2,0.8838034272193909
Clothing,Sneakers,5,Cash on Delivery,4,Satisfied with the product,Assam,positive,2,0.9785903692245483
Books,Science Textbook,3,UPI,4,Good quality,Tripura,positive,2,0.9450585246086121
Clothing,Sneakers,4,Credit Card,2,Disappointed,Arunachal Pradesh,negative,0,0.986985981464386
Electronics,Smartwatch,1,UPI,3,Okay product,West Bengal,positive,2,0.7045726180076599
Electronics,Headphones,1,UPI,3,Fair deal,Bihar,positive,2,0.757193922996521
Clothing,Jacket,4,Credit Card,1,Never buying again,Chhattisgarh,negative,0,0.9667354226112366
Books,Comics,4,UPI,3,Okay product,Rajasthan,positive,2,0.7045726180076599
Beauty,Hair Dryer,4,UPI,4,Would buy again,Goa,positive,2,0.8037182092666626
Books,Science Textbook,2,Credit Card,1,Terrible experience,Uttar Pradesh,negative,0,0.9610510468482971
Clothing,T-Shirt,5,UPI,1,Terrible experience,Sikkim,negative,0,0.9610510468482971
Electronics,Smartwatch,3,Debit Card,1,Very bad product,Maharashtra,negative,0,0.9768244624137878
Books,Biography,2,Cash on Delivery,5,Worth every rupee!,Punjab,positive,2,0.900964081287384
Clothing,Jeans,1,Credit Card,4,Satisfied with the product,Assam,positive,2,0.9785903692245483
Electronics,Headphones,3,UPI,5,Loved it!,Madhya Pradesh,positive,2,0.7877822518348694
Home & Kitchen,Vacuum Cleaner,1,Debit Card,3,Fair deal,Madhya Pradesh,positive,2,0.757193922996521
Beauty,Shampoo,3,Debit Card,4,Value for money,Punjab,neutral,1,0.5708264708518982
Electronics,Smartwatch,1,Debit Card,2,Not satisfied,Manipur,negative,0,0.9404667615890503
Home & Kitchen,Vacuum Cleaner,3,Debit Card,4,Good quality,Mizoram,positive,2,0.9450585246086121
Home & Kitchen,Water Purifier,4,Debit Card,1,Waste of money,Himachal Pradesh,negative,0,0.994858980178833
Electronics,Laptop,5,UPI,4,Value for money,Nagaland,neutral,1,0.5708264708518982
Home & Kitchen,Air Fryer,5,Debit Card,2,Product not as expected,West Bengal,neutral,1,0.3900465667247772
Electronics,Tablet,2,Credit Card,4,Good quality,Andhra Pradesh,positive,2,0.9450585246086121
Clothing,Jacket,5,Debit Card,5,Worth every rupee!,Sikkim,positive,2,0.900964081287384
Clothing,Saree,3,Credit Card,4,Pretty decent,Telangana,positive,2,0.8838034272193909
Clothing,Jacket,1,UPI,3,Not bad,Bihar,neutral,1,0.48498252034187317
Home & Kitchen,Vacuum Cleaner,2,Credit Card,2,Quality could improve,Sikkim,positive,2,0.8631800413131714
Clothing,Jeans,4,Cash on Delivery,5,Loved it!,Nagaland,positive,2,0.7877822518348694
Books,Fiction Novel,1,Cash on Delivery,4,Good quality,Tripura,positive,2,0.9450585246086121
Clothing,Sneakers,1,Credit Card,5,Worth every rupee!,Himachal Pradesh,positive,2,0.900964081287384
Books,Fiction Novel,1,Debit Card,3,Okay product,Tripura,positive,2,0.7045726180076599
Home & Kitchen,Water Purifier,3,Credit Card,3,Could be better,Rajasthan,positive,2,0.750451922416687
Books,Comics,1,Credit Card,2,Poor packaging,Karnataka,negative,0,0.9881618618965149
Books,Biography,5,Debit Card,1,Waste of money,Bihar,negative,0,0.994858980178833
Books,Children's Book,5,Debit Card,4,Value for money,Jharkhand,neutral,1,0.5708264708518982
Beauty,Perfume,4,Credit Card,1,Terrible experience,Maharashtra,negative,0,0.9610510468482971
Beauty,Shampoo,2,Debit Card,2,Quality could improve,Goa,positive,2,0.8631800413131714
Home & Kitchen,Water Purifier,5,Debit Card,2,Quality could improve,Manipur,positive,2,0.8631800413131714
Clothing,T-Shirt,1,Credit Card,4,Value for money,Andhra Pradesh,neutral,1,0.5708264708518982
Books,Biography,2,Cash on Delivery,4,Pretty decent,Telangana,positive,2,0.8838034272193909
Electronics,Smartphone,4,UPI,2,Disappointed,Telangana,negative,0,0.986985981464386
Beauty,Hair Dryer,4,Credit Card,1,Defective item,Himachal Pradesh,negative,0,0.9707651734352112
Beauty,Lipstick,1,Debit Card,5,Highly recommend!,Mizoram,positive,2,0.9508875012397766
Electronics,Smartwatch,5,Credit Card,5,Worth every rupee!,Tripura,positive,2,0.900964081287384
Home & Kitchen,Vacuum Cleaner,5,Cash on Delivery,2,Not satisfied,Goa,negative,0,0.9404667615890503
Electronics,Smartphone,2,Credit Card,4,Would buy again,Mizoram,positive,2,0.8037182092666626
Clothing,Sneakers,5,Debit Card,4,Would buy again,Bihar,positive,2,0.8037182092666626
Books,Children's Book,5,UPI,1,Never buying again,West Bengal,negative,0,0.9667354226112366
Home & Kitchen,Mixer Grinder,5,UPI,5,Worth every rupee!,Rajasthan,positive,2,0.900964081287384
Clothing,Saree,5,UPI,4,Good quality,Jharkhand,positive,2,0.9450585246086121
Clothing,T-Shirt,4,Cash on Delivery,2,Poor packaging,Uttarakhand,negative,0,0.9881618618965149
Beauty,Face Cream,2,Cash on Delivery,5,Loved it!,Rajasthan,positive,2,0.7877822518348694
Beauty,Hair Dryer,3,Credit Card,3,Could be better,Mizoram,positive,2,0.750451922416687
Books,Biography,2,Cash on Delivery,3,Fair deal,Punjab,positive,2,0.757193922996521
Home & Kitchen,Water Purifier,3,Cash on Delivery,5,Highly recommend!,Gujarat,positive,2,0.9508875012397766
Clothing,Sneakers,1,Debit Card,1,Terrible experience,Chhattisgarh,negative,0,0.9610510468482971
Clothing,Jeans,5,Credit Card,5,Fantastic quality!,Kerala,positive,2,0.9278391599655151
Books,Science Textbook,2,UPI,5,Worth every rupee!,Tripura,positive,2,0.900964081287384
Home & Kitchen,Air Fryer,1,Cash on Delivery,2,Product not as expected,Goa,neutral,1,0.3900465667247772
Beauty,Perfume,3,UPI,1,Terrible experience,Nagaland,negative,0,0.9610510468482971
Clothing,T-Shirt,4,UPI,2,Poor packaging,Tripura,negative,0,0.9881618618965149
Books,Fiction Novel,3,Credit Card,5,Worth every rupee!,Mizoram,positive,2,0.900964081287384
Home & Kitchen,Cookware Set,1,Credit Card,4,Value for money,Andhra Pradesh,neutral,1,0.5708264708518982
Home & Kitchen,Water Purifier,2,Debit Card,4,Pretty decent,Punjab,positive,2,0.8838034272193909
Electronics,Laptop,2,Cash on Delivery,2,Product not as expected,Karnataka,neutral,1,0.3900465667247772
Home & Kitchen,Vacuum Cleaner,3,Debit Card,5,Loved it!,Meghalaya,positive,2,0.7877822518348694
Electronics,Smartphone,4,Debit Card,4,Good quality,Andhra Pradesh,positive,2,0.9450585246086121
Home & Kitchen,Vacuum Cleaner,5,Cash on Delivery,2,Poor packaging,Bihar,negative,0,0.9881618618965149
Home & Kitchen,Air Fryer,5,Credit Card,5,Fantastic quality!,Kerala,positive,2,0.9278391599655151
Electronics,Tablet,4,UPI,3,Not bad,Uttarakhand,neutral,1,0.48498252034187317
Clothing,Saree,5,UPI,3,Okay product,Uttar Pradesh,positive,2,0.7045726180076599
Books,Children's Book,1,Credit Card,4,Pretty decent,Jharkhand,positive,2,0.8838034272193909
Beauty,Hair Dryer,1,Debit Card,3,Okay product,Haryana,positive,2,0.7045726180076599
Books,Fiction Novel,1,UPI,1,Very bad product,Arunachal Pradesh,negative,0,0.9768244624137878
Home & Kitchen,Air Fryer,2,Cash on Delivery,4,Pretty decent,Haryana,positive,2,0.8838034272193909
Electronics,Tablet,2,Cash on Delivery,3,Okay product,Odisha,positive,2,0.7045726180076599
Clothing,T-Shirt,1,Cash on Delivery,4,Pretty decent,Assam,positive,2,0.8838034272193909
Clothing,Jeans,4,UPI,3,Fair deal,Assam,positive,2,0.757193922996521
Books,Fiction Novel,2,Cash on Delivery,1,Very bad product,Telangana,negative,0,0.9768244624137878
Clothing,T-Shirt,4,Credit Card,5,Highly recommend!,Meghalaya,positive,2,0.9508875012397766
Clothing,Saree,3,Credit Card,3,Not bad,Uttarakhand,neutral,1,0.48498252034187317
Clothing,Jacket,3,Cash on Delivery,5,Worth every rupee!,Assam,positive,2,0.900964081287384
Electronics,Headphones,4,Cash on Delivery,3,Could be better,Tripura,positive,2,0.750451922416687
Beauty,Perfume,5,Cash on Delivery,2,Poor packaging,Nagaland,negative,0,0.9881618618965149
Beauty,Shampoo,5,Credit Card,4,Good quality,Tripura,positive,2,0.9450585246086121
Beauty,Lipstick,1,Cash on Delivery,2,Poor packaging,Chhattisgarh,negative,0,0.9881618618965149
Books,Fiction Novel,1,Cash on Delivery,5,Highly recommend!,Chhattisgarh,positive,2,0.9508875012397766
Home & Kitchen,Mixer Grinder,2,Credit Card,1,Waste of money,Sikkim,negative,0,0.994858980178833
Books,Biography,3,Debit Card,5,Highly recommend!,Meghalaya,positive,2,0.9508875012397766
Books,Children's Book,4,Debit Card,4,Pretty decent,Nagaland,positive,2,0.8838034272193909
Electronics,Tablet,2,Debit Card,1,Waste of money,Goa,negative,0,0.994858980178833
Home & Kitchen,Cookware Set,4,Debit Card,2,Product not as expected,Himachal Pradesh,neutral,1,0.3900465667247772
Beauty,Perfume,3,UPI,5,Excellent product!,Mizoram,positive,2,0.9557949304580688
Electronics,Smartphone,1,UPI,2,Poor packaging,West Bengal,negative,0,0.9881618618965149
Beauty,Lipstick,1,UPI,5,Fantastic quality!,Punjab,positive,2,0.9278391599655151
Books,Children's Book,1,UPI,3,Fair deal,Maharashtra,positive,2,0.757193922996521
Clothing,T-Shirt,1,Debit Card,2,Disappointed,Gujarat,negative,0,0.986985981464386
Beauty,Face Cream,3,Credit Card,4,Good quality,Nagaland,positive,2,0.9450585246086121
Electronics,Smartphone,4,UPI,5,Loved it!,Tripura,positive,2,0.7877822518348694
Electronics,Smartwatch,4,UPI,3,Okay product,Telangana,positive,2,0.7045726180076599
Books,Children's Book,3,UPI,1,Defective item,Tamil Nadu,negative,0,0.9707651734352112
Electronics,Laptop,5,Credit Card,4,Satisfied with the product,Gujarat,positive,2,0.9785903692245483
Books,Children's Book,5,Debit Card,2,Not satisfied,Tamil Nadu,negative,0,0.9404667615890503
Beauty,Perfume,1,Debit Card,5,Highly recommend!,Jharkhand,positive,2,0.9508875012397766
Beauty,Shampoo,2,Cash on Delivery,4,Would buy again,Madhya Pradesh,positive,2,0.8037182092666626
Home & Kitchen,Cookware Set,1,Cash on Delivery,2,Disappointed,Sikkim,negative,0,0.986985981464386
Electronics,Smartphone,1,UPI,4,Good quality,Rajasthan,positive,2,0.9450585246086121
Clothing,Jacket,4,UPI,5,Highly recommend!,Kerala,positive,2,0.9508875012397766
Books,Fiction Novel,5,Debit Card,3,Fair deal,Manipur,positive,2,0.757193922996521
Electronics,Tablet,2,Credit Card,2,Disappointed,Mizoram,negative,0,0.986985981464386
Home & Kitchen,Vacuum Cleaner,4,Cash on Delivery,2,Product not as expected,Manipur,neutral,1,0.3900465667247772
Electronics,Headphones,3,Cash on Delivery,4,Satisfied with the product,Bihar,positive,2,0.9785903692245483
Home & Kitchen,Mixer Grinder,4,Cash on Delivery,5,Worth every rupee!,Haryana,positive,2,0.900964081287384
Books,Science Textbook,3,Credit Card,2,Disappointed,Haryana,negative,0,0.986985981464386
Home & Kitchen,Air Fryer,5,Cash on Delivery,3,Average,Assam,neutral,1,0.4617282748222351
Books,Science Textbook,5,Cash on Delivery,2,Quality could improve,Karnataka,positive,2,0.8631800413131714
Beauty,Lipstick,1,Credit Card,4,Value for money,Andhra Pradesh,neutral,1,0.5708264708518982
Clothing,Sneakers,2,Cash on Delivery,4,Pretty decent,Odisha,positive,2,0.8838034272193909
Books,Comics,4,UPI,3,Okay product,Nagaland,positive,2,0.7045726180076599
Home & Kitchen,Cookware Set,5,UPI,4,Good quality,Haryana,positive,2,0.9450585246086121
Home & Kitchen,Cookware Set,5,Cash on Delivery,5,Worth every rupee!,Odisha,positive,2,0.900964081287384
Beauty,Hair Dryer,5,Debit Card,1,Very bad product,Haryana,negative,0,0.9768244624137878
Electronics,Laptop,3,Cash on Delivery,4,Pretty decent,Andhra Pradesh,positive,2,0.8838034272193909
Electronics,Smartwatch,4,UPI,3,Average,Assam,neutral,1,0.4617282748222351
Clothing,Jeans,5,Cash on Delivery,2,Product not as expected,Tamil Nadu,neutral,1,0.3900465667247772
Clothing,Jeans,4,Cash on Delivery,5,Excellent product!,Rajasthan,positive,2,0.9557949304580688
Clothing,Jeans,3,Credit Card,1,Defective item,Arunachal Pradesh,negative,0,0.9707651734352112
Clothing,Jacket,1,Cash on Delivery,4,Pretty decent,Haryana,positive,2,0.8838034272193909
Books,Fiction Novel,3,Debit Card,4,Would buy again,Assam,positive,2,0.8037182092666626
Electronics,Laptop,3,Debit Card,3,Okay product,Arunachal Pradesh,positive,2,0.7045726180076599
Books,Children's Book,4,Credit Card,5,Fantastic quality!,West Bengal,positive,2,0.9278391599655151
Clothing,Saree,2,Cash on Delivery,2,Not satisfied,Karnataka,negative,0,0.9404667615890503
Home & Kitchen,Mixer Grinder,4,Cash on Delivery,4,Pretty decent,Assam,positive,2,0.8838034272193909
Beauty,Shampoo,4,Debit Card,5,Highly recommend!,Mizoram,positive,2,0.9508875012397766
