Product_Category,Product_Name,Quantity,Payment_Method,Review_Rating,Review_Text,State
Clothing,Jeans,1,UPI,2,Product not as expected,Telangana
Beauty,Hair Dryer,5,Debit Card,5,Worth every rupee!,Nagaland
Electronics,Smartwatch,4,Debit Card,3,Average,Nagaland
Home & Kitchen,Air Fryer,4,UPI,3,Not bad,Himachal Pradesh
Books,Children's Book,4,Debit Card,1,Terrible experience,Telangana
Books,Science Textbook,1,Credit Card,3,Okay product,Odisha
Beauty,Shampoo,5,Debit Card,2,Product not as expected,Maharashtra
Home & Kitchen,Water Purifier,1,UPI,3,Fair deal,Odisha
Home & Kitchen,Vacuum Cleaner,5,Debit Card,3,Fair deal,Madhya Pradesh
Clothing,Saree,1,Credit Card,4,Would buy again,Kerala
Electronics,Smartwatch,5,Credit Card,3,Fair deal,Haryana
Clothing,Jeans,2,UPI,3,Could be better,Chhattisgarh
Books,Science Textbook,5,Cash on Delivery,2,Product not as expected,Mizoram
Home & Kitchen,Cookware Set,4,Credit Card,4,Pretty decent,Meghalaya
Clothing,Sneakers,5,Cash on Delivery,4,Satisfied with the product,Assam
Books,Science Textbook,3,UPI,4,Good quality,Tripura
Clothing,Sneakers,4,Credit Card,2,Disappointed,Arunachal Pradesh
Electronics,Smartwatch,1,UPI,3,Okay product,West Bengal
Electronics,Headphones,1,UPI,3,Fair deal,Bihar
Clothing,Jacket,4,Credit Card,1,Never buying again,Chhattisgarh
Books,Comics,4,UPI,3,Okay product,Rajasthan
Beauty,Hair Dryer,4,UPI,4,Would buy again,Goa
Books,Science Textbook,2,Credit Card,1,Terrible experience,Uttar Pradesh
Clothing,T-Shirt,5,UPI,1,Terrible experience,Sikkim
Electronics,Smartwatch,3,Debit Card,1,Very bad product,Maharashtra
Books,Biography,2,Cash on Delivery,5,Worth every rupee!,Punjab
Clothing,Jeans,1,Credit Card,4,Satisfied with the product,Assam
Electronics,Headphones,3,UPI,5,Loved it!,Madhya Pradesh
Home & Kitchen,Vacuum Cleaner,1,Debit Card,3,Fair deal,Madhya Pradesh
Beauty,Shampoo,3,Debit Card,4,Value for money,Punjab
Electronics,Smartwatch,1,Debit Card,2,Not satisfied,Manipur
Home & Kitchen,Vacuum Cleaner,3,Debit Card,4,Good quality,Mizoram
Home & Kitchen,Water Purifier,4,Debit Card,1,Waste of money,Himachal Pradesh
Electronics,Laptop,5,UPI,4,Value for money,Nagaland
Home & Kitchen,Air Fryer,5,Debit Card,2,Product not as expected,West Bengal
Electronics,Tablet,2,Credit Card,4,Good quality,Andhra Pradesh
Clothing,Jacket,5,Debit Card,5,Worth every rupee!,Sikkim
Clothing,Saree,3,Credit Card,4,Pretty decent,Telangana
Clothing,Jacket,1,UPI,3,Not bad,Bihar
Home & Kitchen,Vacuum Cleaner,2,Credit Card,2,Quality could improve,Sikkim
Clothing,Jeans,4,Cash on Delivery,5,Loved it!,Nagaland
Books,Fiction Novel,1,Cash on Delivery,4,Good quality,Tripura
Clothing,Sneakers,1,Credit Card,5,Worth every rupee!,Himachal Pradesh
Books,Fiction Novel,1,Debit Card,3,Okay product,Tripura
Home & Kitchen,Water Purifier,3,Credit Card,3,Could be better,Rajasthan
Books,Comics,1,Credit Card,2,Poor packaging,Karnataka
Books,Biography,5,Debit Card,1,Waste of money,Bihar
Books,Children's Book,5,Debit Card,4,Value for money,Jharkhand
Beauty,Perfume,4,Credit Card,1,Terrible experience,Maharashtra
Beauty,Shampoo,2,Debit Card,2,Quality could improve,Goa
Home & Kitchen,Water Purifier,5,Debit Card,2,Quality could improve,Manipur
Clothing,T-Shirt,1,Credit Card,4,Value for money,Andhra Pradesh
Books,Biography,2,Cash on Delivery,4,Pretty decent,Telangana
Electronics,Smartphone,4,UPI,2,Disappointed,Telangana
Beauty,Hair Dryer,4,Credit Card,1,Defective item,Himachal Pradesh
Beauty,Lipstick,1,Debit Card,5,Highly recommend!,Mizoram
Electronics,Smartwatch,5,Credit Card,5,Worth every rupee!,Tripura
Home & Kitchen,Vacuum Cleaner,5,Cash on Delivery,2,Not satisfied,Goa
Electronics,Smartphone,2,Credit Card,4,Would buy again,Mizoram
Clothing,Sneakers,5,Debit Card,4,Would buy again,Bihar
Books,Children's Book,5,UPI,1,Never buying again,West Bengal
Home & Kitchen,Mixer Grinder,5,UPI,5,Worth every rupee!,Rajasthan
Clothing,Saree,5,UPI,4,Good quality,Jharkhand
Clothing,T-Shirt,4,Cash on Delivery,2,Poor packaging,Uttarakhand
Beauty,Face Cream,2,Cash on Delivery,5,Loved it!,Rajasthan
Beauty,Hair Dryer,3,Credit Card,3,Could be better,Mizoram
Books,Biography,2,Cash on Delivery,3,Fair deal,Punjab
Home & Kitchen,Water Purifier,3,Cash on Delivery,5,Highly recommend!,Gujarat
Clothing,Sneakers,1,Debit Card,1,Terrible experience,Chhattisgarh
Clothing,Jeans,5,Credit Card,5,Fantastic quality!,Kerala
Books,Science Textbook,2,UPI,5,Worth every rupee!,Tripura
Home & Kitchen,Air Fryer,1,Cash on Delivery,2,Product not as expected,Goa
Beauty,Perfume,3,UPI,1,Terrible experience,Nagaland
Clothing,T-Shirt,4,UPI,2,Poor packaging,Tripura
Books,Fiction Novel,3,Credit Card,5,Worth every rupee!,Mizoram
Home & Kitchen,Cookware Set,1,Credit Card,4,Value for money,Andhra Pradesh
Home & Kitchen,Water Purifier,2,Debit Card,4,Pretty decent,Punjab
Electronics,Laptop,2,Cash on Delivery,2,Product not as expected,Karnataka
Home & Kitchen,Vacuum Cleaner,3,Debit Card,5,Loved it!,Meghalaya
Electronics,Smartphone,4,Debit Card,4,Good quality,Andhra Pradesh
Home & Kitchen,Vacuum Cleaner,5,Cash on Delivery,2,Poor packaging,Bihar
Home & Kitchen,Air Fryer,5,Credit Card,5,Fantastic quality!,Kerala
Electronics,Tablet,4,UPI,3,Not bad,Uttarakhand
Clothing,Saree,5,UPI,3,Okay product,Uttar Pradesh
Books,Children's Book,1,Credit Card,4,Pretty decent,Jharkhand
Beauty,Hair Dryer,1,Debit Card,3,Okay product,Haryana
Books,Fiction Novel,1,UPI,1,Very bad product,Arunachal Pradesh
Home & Kitchen,Air Fryer,2,Cash on Delivery,4,Pretty decent,Haryana
Electronics,Tablet,2,Cash on Delivery,3,Okay product,Odisha
Clothing,T-Shirt,1,Cash on Delivery,4,Pretty decent,Assam
Clothing,Jeans,4,UPI,3,Fair deal,Assam
Books,Fiction Novel,2,Cash on Delivery,1,Very bad product,Telangana
Clothing,T-Shirt,4,Credit Card,5,Highly recommend!,Meghalaya
Clothing,Saree,3,Credit Card,3,Not bad,Uttarakhand
Clothing,Jacket,3,Cash on Delivery,5,Worth every rupee!,Assam
Electronics,Headphones,4,Cash on Delivery,3,Could be better,Tripura
Beauty,Perfume,5,Cash on Delivery,2,Poor packaging,Nagaland
Beauty,Shampoo,5,Credit Card,4,Good quality,Tripura
Beauty,Lipstick,1,Cash on Delivery,2,Poor packaging,Chhattisgarh
Books,Fiction Novel,1,Cash on Delivery,5,Highly recommend!,Chhattisgarh
Home & Kitchen,Mixer Grinder,2,Credit Card,1,Waste of money,Sikkim
Books,Biography,3,Debit Card,5,Highly recommend!,Meghalaya
Books,Children's Book,4,Debit Card,4,Pretty decent,Nagaland
Electronics,Tablet,2,Debit Card,1,Waste of money,Goa
Home & Kitchen,Cookware Set,4,Debit Card,2,Product not as expected,Himachal Pradesh
Beauty,Perfume,3,UPI,5,Excellent product!,Mizoram
Electronics,Smartphone,1,UPI,2,Poor packaging,West Bengal
Beauty,Lipstick,1,UPI,5,Fantastic quality!,Punjab
Books,Children's Book,1,UPI,3,Fair deal,Maharashtra
Clothing,T-Shirt,1,Debit Card,2,Disappointed,Gujarat
Beauty,Face Cream,3,Credit Card,4,Good quality,Nagaland
Electronics,Smartphone,4,UPI,5,Loved it!,Tripura
Electronics,Smartwatch,4,UPI,3,Okay product,Telangana
Books,Children's Book,3,UPI,1,Defective item,Tamil Nadu
Electronics,Laptop,5,Credit Card,4,Satisfied with the product,Gujarat
Books,Children's Book,5,Debit Card,2,Not satisfied,Tamil Nadu
Beauty,Perfume,1,Debit Card,5,Highly recommend!,Jharkhand
Beauty,Shampoo,2,Cash on Delivery,4,Would buy again,Madhya Pradesh
Home & Kitchen,Cookware Set,1,Cash on Delivery,2,Disappointed,Sikkim
Electronics,Smartphone,1,UPI,4,Good quality,Rajasthan
Clothing,Jacket,4,UPI,5,Highly recommend!,Kerala
Books,Fiction Novel,5,Debit Card,3,Fair deal,Manipur
Electronics,Tablet,2,Credit Card,2,Disappointed,Mizoram
Home & Kitchen,Vacuum Cleaner,4,Cash on Delivery,2,Product not as expected,Manipur
Electronics,Headphones,3,Cash on Delivery,4,Satisfied with the product,Bihar
Home & Kitchen,Mixer Grinder,4,Cash on Delivery,5,Worth every rupee!,Haryana
Books,Science Textbook,3,Credit Card,2,Disappointed,Haryana
Home & Kitchen,Air Fryer,5,Cash on Delivery,3,Average,Assam
Books,Science Textbook,5,Cash on Delivery,2,Quality could improve,Karnataka
Beauty,Lipstick,1,Credit Card,4,Value for money,Andhra Pradesh
Clothing,Sneakers,2,Cash on Delivery,4,Pretty decent,Odisha
Books,Comics,4,UPI,3,Okay product,Nagaland
Home & Kitchen,Cookware Set,5,UPI,4,Good quality,Haryana
Home & Kitchen,Cookware Set,5,Cash on Delivery,5,Worth every rupee!,Odisha
Beauty,Hair Dryer,5,Debit Card,1,Very bad product,Haryana
Electronics,Laptop,3,Cash on Delivery,4,Pretty decent,Andhra Pradesh
Electronics,Smartwatch,4,UPI,3,Average,Assam
Clothing,Jeans,5,Cash on Delivery,2,Product not as expected,Tamil Nadu
Clothing,Jeans,4,Cash on Delivery,5,Excellent product!,Rajasthan
Clothing,Jeans,3,Credit Card,1,Defective item,Arunachal Pradesh
Clothing,Jacket,1,Cash on Delivery,4,Pretty decent,Haryana
Books,Fiction Novel,3,Debit Card,4,Would buy again,Assam
Electronics,Laptop,3,Debit Card,3,Okay product,Arunachal Pradesh
Books,Children's Book,4,Credit Card,5,Fantastic quality!,West Bengal
Clothing,Saree,2,Cash on Delivery,2,Not satisfied,Karnataka
Home & Kitchen,Mixer Grinder,4,Cash on Delivery,4,Pretty decent,Assam
Beauty,Shampoo,4,Debit Card,5,Highly recommend!,Mizoram
Clothing,Saree,3,UPI,4,Good quality,Haryana
Home & Kitchen,Water Purifier,3,Credit Card,1,Very bad product,Himachal Pradesh
Clothing,Sneakers,1,UPI,3,Okay product,Sikkim
Books,Biography,5,Credit Card,2,Not satisfied,Meghalaya
Books,Biography,5,Debit Card,5,Fantastic quality!,Gujarat
Home & Kitchen,Water Purifier,1,Credit Card,4,Satisfied with the product,Nagaland
Clothing,Jeans,3,Debit Card,4,Pretty decent,Chhattisgarh
Beauty,Shampoo,1,Debit Card,1,Defective item,Telangana
Beauty,Shampoo,3,UPI,1,Terrible experience,Odisha
Clothing,Jacket,2,Credit Card,3,Fair deal,Odisha
Home & Kitchen,Mixer Grinder,1,Credit Card,4,Pretty decent,Meghalaya
Electronics,Smartwatch,2,Credit Card,2,Not satisfied,Haryana
Home & Kitchen,Vacuum Cleaner,1,Debit Card,2,Quality could improve,Uttar Pradesh
Beauty,Face Cream,1,Credit Card,4,Pretty decent,Meghalaya
Electronics,Smartphone,3,Cash on Delivery,4,Satisfied with the product,Uttar Pradesh
Beauty,Face Cream,1,Cash on Delivery,3,Okay product,Maharashtra
Electronics,Tablet,5,Credit Card,2,Quality could improve,Gujarat
Beauty,Hair Dryer,4,UPI,1,Terrible experience,Bihar
Home & Kitchen,Air Fryer,3,Credit Card,2,Poor packaging,Bihar
Books,Comics,3,Credit Card,1,Never buying again,Sikkim
Books,Science Textbook,4,Cash on Delivery,1,Waste of money,Maharashtra
Beauty,Hair Dryer,1,Credit Card,1,Never buying again,Kerala
Beauty,Lipstick,5,UPI,4,Value for money,Maharashtra
Clothing,T-Shirt,1,Cash on Delivery,4,Pretty decent,Maharashtra
Electronics,Tablet,5,UPI,3,Okay product,Manipur
Clothing,Saree,3,Credit Card,1,Waste of money,West Bengal
Electronics,Smartwatch,1,Credit Card,5,Excellent product!,Telangana
Clothing,T-Shirt,2,Debit Card,3,Could be better,Arunachal Pradesh
Clothing,Sneakers,1,Debit Card,1,Very bad product,Sikkim
Home & Kitchen,Water Purifier,1,Cash on Delivery,5,Loved it!,Rajasthan
Home & Kitchen,Cookware Set,3,Credit Card,5,Fantastic quality!,Rajasthan
Electronics,Smartphone,1,Credit Card,4,Good quality,Bihar
Books,Children's Book,2,UPI,4,Value for money,Arunachal Pradesh
Electronics,Tablet,1,UPI,5,Highly recommend!,Madhya Pradesh
Home & Kitchen,Vacuum Cleaner,1,Debit Card,1,Defective item,Telangana
Books,Science Textbook,4,Credit Card,4,Good quality,Karnataka
Beauty,Face Cream,2,Cash on Delivery,1,Defective item,Uttar Pradesh
Electronics,Laptop,5,Credit Card,4,Value for money,West Bengal
Electronics,Smartphone,2,Cash on Delivery,5,Excellent product!,Bihar
Books,Fiction Novel,5,Cash on Delivery,4,Satisfied with the product,Haryana
Clothing,Sneakers,3,Debit Card,4,Value for money,Gujarat
Clothing,T-Shirt,2,UPI,5,Worth every rupee!,Gujarat
Beauty,Lipstick,4,Debit Card,3,Could be better,Nagaland
Electronics,Smartphone,2,Credit Card,3,Okay product,Manipur
Electronics,Laptop,3,Debit Card,1,Very bad product,Chhattisgarh
Beauty,Shampoo,5,UPI,2,Not satisfied,Maharashtra
Electronics,Smartphone,2,Debit Card,4,Good quality,Goa
Electronics,Laptop,4,UPI,1,Very bad product,Himachal Pradesh
Clothing,Saree,4,Cash on Delivery,4,Pretty decent,Manipur
Clothing,Sneakers,2,Credit Card,3,Not bad,Haryana
Books,Comics,2,UPI,4,Value for money,West Bengal
Beauty,Perfume,4,UPI,5,Highly recommend!,Assam
Beauty,Hair Dryer,4,Cash on Delivery,5,Loved it!,Manipur
Electronics,Headphones,5,Debit Card,3,Okay product,Uttar Pradesh
Clothing,T-Shirt,2,Credit Card,3,Fair deal,West Bengal
Home & Kitchen,Cookware Set,2,UPI,3,Could be better,West Bengal
Books,Comics,2,Debit Card,2,Product not as expected,Nagaland
Electronics,Smartphone,1,Cash on Delivery,2,Disappointed,Bihar
Books,Science Textbook,2,UPI,2,Poor packaging,Arunachal Pradesh
Clothing,T-Shirt,5,UPI,1,Defective item,Rajasthan
Home & Kitchen,Cookware Set,2,Debit Card,4,Would buy again,Nagaland
Books,Biography,2,Debit Card,2,Quality could improve,Uttarakhand
Electronics,Tablet,4,Debit Card,5,Loved it!,Andhra Pradesh
Books,Fiction Novel,4,Debit Card,1,Very bad product,Assam
Home & Kitchen,Air Fryer,1,Debit Card,2,Not satisfied,Tripura
Electronics,Smartphone,4,Cash on Delivery,4,Value for money,West Bengal
Books,Children's Book,1,Credit Card,5,Excellent product!,Haryana
Electronics,Headphones,1,Credit Card,1,Waste of money,Goa
Electronics,Tablet,1,Cash on Delivery,5,Loved it!,Maharashtra
Books,Children's Book,2,Cash on Delivery,3,Not bad,Meghalaya
Books,Biography,3,Cash on Delivery,1,Very bad product,Meghalaya
Home & Kitchen,Mixer Grinder,4,UPI,5,Loved it!,Gujarat
Clothing,Sneakers,1,Cash on Delivery,1,Defective item,West Bengal
Electronics,Tablet,4,Cash on Delivery,4,Value for money,Madhya Pradesh
Beauty,Shampoo,3,Credit Card,3,Average,Arunachal Pradesh
Electronics,Headphones,5,Cash on Delivery,5,Worth every rupee!,Goa
Books,Children's Book,5,Cash on Delivery,4,Good quality,Madhya Pradesh
Books,Comics,5,Cash on Delivery,5,Loved it!,Andhra Pradesh
Clothing,Jeans,2,Credit Card,1,Waste of money,Madhya Pradesh
Books,Biography,3,Cash on Delivery,1,Defective item,Himachal Pradesh
Home & Kitchen,Water Purifier,4,Cash on Delivery,1,Terrible experience,Uttar Pradesh
Clothing,Jeans,5,Debit Card,1,Defective item,Uttar Pradesh
Beauty,Lipstick,4,UPI,5,Highly recommend!,Manipur
Beauty,Perfume,5,Debit Card,4,Satisfied with the product,Jharkhand
Electronics,Smartwatch,3,Debit Card,1,Terrible experience,Maharashtra
Electronics,Laptop,2,Cash on Delivery,4,Good quality,Tamil Nadu
Clothing,Jacket,2,Debit Card,4,Would buy again,Telangana
Clothing,T-Shirt,3,UPI,4,Satisfied with the product,Uttar Pradesh
Clothing,T-Shirt,2,Debit Card,1,Terrible experience,Nagaland
Books,Children's Book,1,Cash on Delivery,2,Product not as expected,Sikkim
Books,Comics,3,Debit Card,3,Fair deal,Tamil Nadu
Electronics,Laptop,5,Credit Card,2,Product not as expected,Meghalaya
Books,Fiction Novel,1,UPI,2,Disappointed,Chhattisgarh
Books,Biography,3,Debit Card,4,Pretty decent,Gujarat
Home & Kitchen,Water Purifier,5,Debit Card,1,Never buying again,Jharkhand
Books,Biography,3,Debit Card,4,Value for money,Gujarat
Home & Kitchen,Vacuum Cleaner,3,Cash on Delivery,5,Highly recommend!,Arunachal Pradesh
Clothing,T-Shirt,4,Cash on Delivery,3,Average,Odisha
Books,Comics,2,Cash on Delivery,2,Disappointed,Telangana
Books,Biography,2,UPI,5,Loved it!,Nagaland
Home & Kitchen,Water Purifier,2,Credit Card,3,Okay product,Arunachal Pradesh
Home & Kitchen,Air Fryer,3,UPI,5,Excellent product!,Telangana
Books,Comics,5,Cash on Delivery,2,Disappointed,Karnataka
Beauty,Face Cream,2,Cash on Delivery,2,Disappointed,Arunachal Pradesh
Clothing,T-Shirt,4,UPI,2,Disappointed,Arunachal Pradesh
Clothing,Jeans,5,Cash on Delivery,4,Pretty decent,Odisha
Beauty,Shampoo,4,Debit Card,1,Defective item,Meghalaya
Books,Science Textbook,1,Debit Card,2,Not satisfied,Mizoram
Beauty,Hair Dryer,5,Debit Card,1,Never buying again,West Bengal
Books,Comics,3,Debit Card,2,Quality could improve,Mizoram
Beauty,Face Cream,2,Credit Card,2,Disappointed,Goa
Electronics,Smartwatch,3,UPI,5,Excellent product!,Arunachal Pradesh
Electronics,Smartphone,4,Cash on Delivery,1,Waste of money,Mizoram
Clothing,T-Shirt,3,Debit Card,1,Never buying again,Assam
Clothing,Jacket,1,UPI,5,Worth every rupee!,West Bengal
